iter	RMSE
0	11173.65362
1	10356.91321
2	9657.260195
3	8990.113175
4	8442.829993
5	7947.146422
6	7478.883112
7	7091.723217
8	6749.097563
9	6461.375262
10	6186.106034
11	5966.24498
12	5761.448856
13	5600.514842
14	5434.313958
15	5293.586468
16	5189.866479
17	5085.577544
18	4973.076208
19	4885.735528
20	4812.114964
21	4744.175608
22	4691.488199
23	4642.660263
24	4603.714384
25	4578.44746
26	4546.113832
27	4527.49813
28	4500.910467
29	4477.84373
30	4452.638275
31	4436.809598
32	4414.975889
33	4401.808796
34	4388.41832
35	4369.181207
36	4351.299358
37	4333.983947
38	4322.014615
39	4314.555937
40	4307.06661
41	4293.590931
42	4285.942516
43	4270.975045
44	4258.002554
45	4244.006132
46	4236.020569
47	4226.463285
48	4220.103206
49	4203.282204
