iter	Passed	Remaining
0	1	1455
1	2	1052
2	3	1062
3	4	1192
4	6	1282
5	7	1258
6	8	1232
7	9	1206
8	10	1193
9	11	1133
10	12	1127
11	13	1123
12	14	1117
13	15	1117
14	16	1094
15	17	1093
16	18	1091
17	20	1135
18	22	1146
19	22	1113
20	23	1110
21	24	1108
22	26	1106
23	27	1105
24	28	1103
25	29	1101
26	30	1098
27	31	1096
28	32	1093
29	33	1082
30	35	1124
31	37	1134
32	38	1134
33	39	1134
34	41	1136
35	42	1133
36	43	1131
37	44	1128
38	45	1124
39	46	1121
40	47	1118
41	48	1116
42	50	1124
43	52	1131
44	53	1131
45	54	1128
46	55	1126
47	56	1123
48	57	1120
49	58	1117
50	59	1103
51	60	1102
52	61	1100
53	62	1098
54	63	1096
55	65	1099
56	66	1094
57	67	1099
58	68	1094
59	69	1090
60	70	1087
61	71	1084
62	72	1080
63	73	1077
64	74	1075
65	75	1072
66	76	1062
67	77	1060
68	78	1057
69	79	1058
70	81	1060
71	82	1057
72	83	1059
73	84	1057
74	85	1049
75	86	1046
76	87	1043
77	87	1037
78	88	1036
79	89	1033
80	90	1031
81	91	1029
82	92	1026
83	94	1029
84	95	1024
85	96	1022
86	97	1024
87	99	1026
88	100	1024
89	101	1022
90	102	1020
91	103	1018
92	104	1016
93	105	1013
94	106	1011
95	107	1009
96	107	1003
97	109	1003
98	110	1008
99	112	1009
100	115	1030
101	117	1031
102	118	1031
103	119	1032
104	120	1025
105	121	1023
106	122	1023
107	123	1023
108	125	1022
109	126	1020
110	127	1018
111	129	1023
112	130	1027
113	131	1025
114	133	1023
115	134	1021
116	135	1019
117	136	1017
118	137	1016
119	138	1014
120	139	1011
121	140	1009
122	140	1002
123	141	1000
124	142	998
125	143	992
126	144	994
127	146	997
128	147	996
129	149	997
130	150	995
131	151	993
132	152	991
133	153	990
134	154	988
135	155	986
136	156	984
137	157	980
138	158	978
139	159	977
140	160	978
141	162	979
142	163	977
143	164	975
144	165	973
145	166	971
146	167	970
147	168	968
148	169	966
149	170	965
150	171	963
151	172	961
152	173	959
153	174	957
154	175	957
155	177	957
156	178	956
157	179	954
158	180	952
159	181	951
160	182	949
161	183	948
162	184	946
163	185	945
164	186	943
165	187	941
166	188	940
167	189	938
168	190	937
169	192	937
170	193	936
171	194	935
172	195	933
173	196	932
174	197	931
175	198	930
176	199	928
177	200	927
178	201	925
179	202	923
180	203	922
181	204	920
182	205	919
183	207	919
184	208	919
185	209	918
186	210	916
187	212	916
188	213	915
189	214	914
190	215	913
191	217	913
192	218	911
193	219	910
194	220	908
195	221	907
196	222	907
197	224	907
198	225	906
199	226	905
200	227	903
201	228	902
202	229	900
203	230	899
204	231	897
205	232	895
206	233	894
207	234	892
208	235	891
209	236	889
210	237	888
211	238	888
212	240	888
213	241	887
214	242	886
215	243	885
